Exemplar,Size,Filename
Assembled Ensemble,2,
Bottomless Vault,2,
Bountiful Harvest,2,
Braidwood Cup,2,
Break Open,2,
Bright Reprisal,2,
Bull Cerodon,2,
Buoyancy,2,
Call to Serve,2,
Call to the Void,2,
Emerald Dragon // Dissonant Wave,2,
Capricious Sorcerer,2,
Sea God's Scorn,2,
Cartographer,2,
Castigate,2,
Cave of Temptation,2,
Celestial Sword,2,
Ceremonial Guard,2,
Chains of Custody,2,
Chieftain en-Dal,2,
Chill Haunting,2,
Chitinous Cloak,2,
Chromatic Armor,2,
Circle of Despair,2,
Civic Wayfinder,2,
Syncopate,2,
Tempest of Light,2,
Clear a Path,2,
Clip Wings,2,
Cloudshift,2,
Cyclonic Rift,2,
Coat with Venom,2,
Cobbled Wings,2,
Collective Unconscious,2,
Colossal Might,2,
Combo Attack,2,
Commander's Authority,2,
Conservator,2,
Consulate Skygate,2,
Convergence of Dominion,2,
Coordinated Barrage,2,
Crimson Roc,2,
Crippling Blight,2,
Crossbow Infantry,2,
Crosstown Courier,2,
Crumbling Vestige,2,
Crystal Quarry,2,
Daring Leap,2,
Dark Favor,2,
Dark Offering,2,
Dauntless Onslaught,2,
Dauthi Voidwalker,2,
Timetwister,2,
Dazzling Beauty,2,
Death Bomb,2,
Deathcoil Wurm,2,
Declare Dominance,2,
Solemn Offering,2,
Deep Reconnaissance,2,
Bar the Door,2,
Demotion,2,
Dense Canopy,2,
Deny Existence,2,
Devour in Shadow,2,
Disease Carriers,2,
Disfigure,2,
Displace,2,
Angelic Destiny,2,
Doublecast,2,
Draconian Cylix,2,
Rally at the Hornburg,2,
Dragonscale Boon,2,
Drain Life,2,
Dream Spoilers,2,
Visions of Dread,2,
Drekavac,2,
Dwarven Hold,2,
Gift of Strength,2,
Eerie Procession,2,
Elemental Uprising,2,
Eliminate,2,
Elven Rite,2,
Elvish Healer,2,
Elvish Promenade,2,
Wrap in Flames,2,
Everdawn Champion,2,
Pedal to the Metal,2,
Entangling Vines,2,
Dream Leash,2,
Entrancing Melody,2,
Campfire,2,
Essence Extraction,2,
Eye of Nowhere,2,
Moment of Silence,2,
Fear,2,
Feeding Frenzy,2,
Feign Death,2,
Marsh Lurker,2,
Fencing Ace,2,
Feral Instinct,2,
Feroz's Ban,2,
Rising of the Day,2,
Festival of Trokin,2,
Fevered Strength,2,
Lantern of Insight,2,
Ready to Rumble,2,
Final Judgment,2,
Inferno,2,
Fire-Omen Crane,2,
Dragon Mantle,2,
Firestorm Phoenix,2,
Fissure Vent,2,
Your Temple Is Under Attack,2,
Fleeting Distraction,2,
Fleeting Image,2,
Foreshadow,2,
Manipulate Fate,2,
Fortress Crab,2,
Fortune's Favor,2,
Mindstatic,2,
Frost Giant,2,
Funeral Pyre,2,
Funeral Rites,2,
Fungusaur,2,
Wild Ricochet,2,
Futurist Sentinel,2,
Fyndhorn Elder,2,
Gainsay,2,
Gaze of Adamaro,2,
Geomancer's Gambit,2,
Ghostway,2,
Glimpse the Future,2,
Glowrider,2,
Goblins of the Flarg,2,
Gorgon's Head,2,
Starting Town,2,
Rabid Bloodsucker,2,
Grifter's Blade,2,
Guildless Commons,2,
Harmony of Nature,2,
Warning,2,
Headless Specter,2,
Headstone,2,
Heat Ray,2,
Hedron Blade,2,
Hedron Crawler,2,
Hidden Horror,2,
Holdout Settlement,2,
Hollow Trees,2,
Holy Strength,2,
Hunted Wumpus,2,
Hysterical Blindness,2,
Icatian Store,2,
Iceridge Serpent,2,
Igneous Cur,2,
Illusionary Presence,2,
Imposing Visage,2,
Dauntless Veteran,2,
Intervene,2,
Steel Sabotage,2,
Jeskai Runemark,2,
Journeyer's Kite,2,
Kaijin of the Vanishing Touch,2,
Kavu Lair,2,
Kaysa,2,
Kei Takahashi,2,
King's Assassin,2,
Kiss of Death,2,
Cathar's Shield,2,
Kitesail,2,
Kjeldoran Elite Guard,2,
Kjeldoran Gargoyle,2,
Knight of the Tusk,2,
Knight's Pledge,2,
Ultramarines Honour Guard,2,
Krovikan Fetish,2,
Kukemssa Serpent,2,
Kuldotha Rebirth,2,
Laboratory Brute,2,
Shadow Lance,2,
Last Chance,2,
Last Word,2,
Latch Seeker,2,
Lava-Field Overlord,2,
Lay Bare,2,
Leatherback Baloth,2,
Turn into a Pumpkin,2,
Legerdemain,2,
Ley Druid,2,
Lifelink,2,
Lightning Blow,2,
Lightning Reflexes,2,
Lightning Stormkin,2,
Lim-Dûl's High Guard,2,
Lord of Atlantis,2,
Lost in a Labyrinth,2,
Talas Researcher,2,
Lunge,2,
Magefire Wings,2,
Sentinel's Mark,2,
Mardu Runemark,2,
Megrim,2,
Mental Note,2,
Might Beyond Reason,2,
Mightstone,2,
Miming Slime,2,
Mind Ravel,2,
Mind Sculpt,2,
Mind Spring,2,
Minor Misstep,2,
Bloodrage Brawler,2,
Mirror Gallery,2,
Mirror Image,2,
Mishra's Factory,2,
Aether Meltdown,2,
Mobilize,2,
Modify Memory,2,
Cultivator Colossus,2,
Primal Cocoon,2,
Mulch,2,
Multani's Harmony,2,
Myr Enforcer,2,
Narcolepsy,2,
Necromancer's Assistant,2,
Neurok Hoversail,2,
Neurok Prodigy,2,
Nightguard Patrol,2,
Noble Steeds,2,
Nuisance Engine,2,
Orchard Spirit,2,
Orcish Conscripts,2,
Mending Hands,2,
Overcome,2,
Pale Bears,2,
Panic Attack,2,
Parallectric Feedback,2,
Penumbra Kavu,2,
Personal Tutor,2,
Phantasmal Terrain,2,
Pharika's Libation,2,
Phyrexian Denouncer,2,
Phyrexian Vault,2,
Pin to the Earth,2,
Pincher Beetles,2,
Faith's Fetters,2,
Big Score,2,
Planar Cleansing,2,
Primal Frenzy,2,
Prized Unicorn,2,
Purify,2,
Put Away,2,
Pyre Hound,2,
Pyretic Ritual,2,
Quirion Dryad,2,
Rain of Blades,2,
Sinkhole,2,
Ranger's Path,2,
Rat Out,2,
Rats' Feast,2,
Ravaging Horde,2,
Skullcap Snail,2,
Thraben Gargoyle // Stonewing Antagonizer,2,
Red Elemental Blast,2,
Refurbish,2,
Song of Inspiration,2,
Regress,2,
Relentless Pursuit,2,
Glorious Gale,2,
Wildest Dreams,2,
Return from Extinction,2,
Rib Cage Spider,2,
Ringwarden Owl,2,
Ritual of Restoration,2,
Ritual of Steel,2,
Lead by Example,2,
Rod of Ruin,2,
Roiling Regrowth,2,
High Noon,2,
Nearby Planet,2,
Rush of Battle,2,
Sacred Boon,2,
Sacrifice,2,
Saltblast,2,
Salvager of Secrets,2,
Battlefield Medic,2,
Sand Silos,2,
Sanguinary Mage,2,
Satyr Wayfinder,2,
Time Warp,2,
Sea Scryer,2,
Sea's Claim,2,
Seek the Wilds,2,
Seeker,2,
Seismic Rupture,2,
Seismic Stomp,2,
Sensory Deprivation,2,
Soul of Eternity,2,
Setessan Starbreaker,2,
Setessan Training,2,
Shared Triumph,2,
Shattered Crypt,2,
Sex Appeal,2,
Shocking Grasp,2,
Shriek of Dread,2,
Shrieking Drake,2,
Silence,2,
Pick Your Poison,2,
Siren Song Lyre,2,
Sixth Sense,2,
Skillful Lunge,2,
Sky Skiff,2,
Sleek Schooner,2,
Smother,2,
Somber Hoverguard,2,
Sonic Seizure,2,
Spawn of Rix Maadi,2,
Spell Blast,2,
Sphere of the Suns,2,
Spirit Shield,2,
Sporemound,2,
Spreading Rot,2,
Spring of Eternal Peace,2,
Squelching Leeches,2,
Squirming Mass,2,
Staff of Zegon,2,
Soulstone Sanctuary,2,
Stand Together,2,
Punish the Enemy,2,
Gods Willing,2,
Steal Strength,2,
Stormrider Rig,2,
Stream of Acid,2,
Stream of Life,2,
Strength of the Pack,2,
Sunbond,2,
Merchant of Truth,2,
Swallowing Plague,2,
Swelter,2,
Sylvan Tutor,2,
Takeno's Cavalry,2,
Taste of Blood,2,
Team Spirit,2,
Teeterpeak Ambusher,2,
Telepathy,2,
Telim'Tor's Darts,2,
Tendo Ice Bridge,2,
Terramorphic Expanse,2,
Terrarion,2,
Whirlermaker,2,
Cockatrice,2,
Thoughtflare,2,
Thoughtlace,2,
Tidal Surge,2,
Time Ebb,2,
Titania's Boon,2,
Vanishment,2,
Touch of Death,2,
Touchstone,2,
Tranquility,2,
Tower Defense,2,
Twiddle,2,
Twincast,2,
Twisted Experiment,2,
Uktabi Orangutan,2,
Armadillo Cloak,2,
Unhallowed Pact,2,
Unholy Strength,2,
Universal Solvent,2,
Unmarked Grave,2,
Unruly Mob,2,
Ancient Tomb,2,
Spoils of Victory,2,
Fallow Earth,2,
Urban Utopia,2,
Urgent Exorcism,2,
Abstruse Appropriation,2,
Valorous Charge,2,
Vampiric Feast,2,
Reaver Ambush,2,
Venomous Breath,2,
Verdant Field,2,
Vernal Equinox,2,
Sentinel's Eyes,2,
Zuran Enchanter,2,
Voice of the Provinces,2,
Wall of Torches,2,
Wall of Vapor,2,
Heartwood Shard,2,
Fleecemane Lion,2,
Waterspout Djinn,2,
Web,2,
Wee Dragonauts,2,
Nexus of Becoming,2,
Wicked Pact,2,
Wildwood Rebirth,2,
Wind Sail,2,
Winter's Grasp,2,
Wood Elemental,2,
Woodland Liege,2,
Wrack with Madness,2,
Wrench Mind,2,
Ray of Enfeeblement,2,
Yavimaya Sapherd,2,
Yeva's Forcemage,2,
Sphinx of Jwar Isle,2,
Zhalfirin Void,2,
